"Timestamp","NvidiaTimestamp","GpuUtilPct","MemUsedMiB","MemTotalMiB","PowerW","TempC"
"2026-05-10T20:40:28.7979040+08:00","2026/05/10 20:40:28.792","0","17134","24564","20.31","46"
"2026-05-10T20:40:34.8509145+08:00","2026/05/10 20:40:34.843","62","17134","24564","151.02","52"
"2026-05-10T20:40:40.5612248+08:00","2026/05/10 20:40:40.561","61","17134","24564","148.6","54"
"2026-05-10T20:40:46.3919593+08:00","2026/05/10 20:40:46.387","45","17134","24564","151.2","56"
"2026-05-10T20:40:52.4268497+08:00","2026/05/10 20:40:52.421","55","17134","24564","147.95","56"
"2026-05-10T20:40:58.1342936+08:00","2026/05/10 20:40:58.134","27","17134","24564","149.74","58"
"2026-05-10T20:41:03.8537209+08:00","2026/05/10 20:41:03.846","33","17134","24564","147.35","58"
"2026-05-10T20:41:09.5710097+08:00","2026/05/10 20:41:09.571","61","17134","24564","152.6","59"
"2026-05-10T20:41:15.4195062+08:00","2026/05/10 20:41:15.412","61","17134","24564","148.71","59"
"2026-05-10T20:41:21.1284118+08:00","2026/05/10 20:41:21.123","36","17134","24564","152.82","60"
"2026-05-10T20:41:26.8154747+08:00","2026/05/10 20:41:26.815","81","17134","24564","163.68","60"
"2026-05-10T20:41:32.5153282+08:00","2026/05/10 20:41:32.511","50","17134","24564","153.96","58"
"2026-05-10T20:41:38.3741090+08:00","2026/05/10 20:41:38.374","65","17134","24564","150.89","57"
"2026-05-10T20:41:44.0961896+08:00","2026/05/10 20:41:44.086","88","17134","24564","220.13","64"
"2026-05-10T20:41:49.8435012+08:00","2026/05/10 20:41:49.843","33","17134","24564","149.44","58"
"2026-05-10T20:41:55.9238287+08:00","2026/05/10 20:41:55.916","60","17134","24564","149.85","58"
"2026-05-10T20:42:01.6525980+08:00","2026/05/10 20:42:01.645","46","17134","24564","172.7","58"
"2026-05-10T20:42:07.4429502+08:00","2026/05/10 20:42:07.442","62","17134","24564","149.57","58"
"2026-05-10T20:42:13.1553575+08:00","2026/05/10 20:42:13.152","54","17134","24564","153.99","58"
"2026-05-10T20:42:18.8646227+08:00","2026/05/10 20:42:18.864","61","17134","24564","151.51","57"
"2026-05-10T20:42:24.5933806+08:00","2026/05/10 20:42:24.593","63","17134","24564","149.31","58"
"2026-05-10T20:42:30.3326549+08:00","2026/05/10 20:42:30.327","33","17134","24564","151.9","58"
"2026-05-10T20:42:36.0735643+08:00","2026/05/10 20:42:36.072","64","17134","24564","149.22","58"
"2026-05-10T20:42:41.8066190+08:00","2026/05/10 20:42:41.806","64","17134","24564","152.58","57"
"2026-05-10T20:42:47.7381812+08:00","2026/05/10 20:42:47.735","63","17134","24564","148.74","57"
"2026-05-10T20:42:53.8094315+08:00","2026/05/10 20:42:53.809","63","17134","24564","144.46","58"
"2026-05-10T20:42:59.8824166+08:00","2026/05/10 20:42:59.882","82","17134","24564","171.97","64"
"2026-05-10T20:43:05.7346262+08:00","2026/05/10 20:43:05.727","59","17134","24564","145.6","58"
"2026-05-10T20:43:11.4812539+08:00","2026/05/10 20:43:11.481","59","17134","24564","147.18","57"
"2026-05-10T20:43:17.2113206+08:00","2026/05/10 20:43:17.202","23","17134","24564","154.77","63"
"2026-05-10T20:43:22.9813591+08:00","2026/05/10 20:43:22.974","16","17134","24564","142.13","57"
"2026-05-10T20:43:28.7890494+08:00","2026/05/10 20:43:28.788","5","17134","24564","84.94","56"
"2026-05-10T20:43:34.5473234+08:00","2026/05/10 20:43:34.544","8","17134","24564","23.25","52"
"2026-05-10T20:43:40.3789134+08:00","2026/05/10 20:43:40.330","10","17134","24564","20.05","50"
"2026-05-10T20:43:46.1430960+08:00","2026/05/10 20:43:46.101","10","17134","24564","20.16","48"
"2026-05-10T20:43:51.8396996+08:00","2026/05/10 20:43:51.823","10","17134","24564","19.96","47"
"2026-05-10T20:43:57.6255412+08:00","2026/05/10 20:43:57.623","10","17134","24564","21.85","47"
"2026-05-10T20:44:03.7024524+08:00","2026/05/10 20:44:03.695","63","17134","24564","150.47","52"
"2026-05-10T20:44:09.4314447+08:00","2026/05/10 20:44:09.425","35","17134","24564","147.48","54"
"2026-05-10T20:44:15.1621166+08:00","2026/05/10 20:44:15.152","31","17134","24564","145.55","56"
"2026-05-10T20:44:20.8584423+08:00","2026/05/10 20:44:20.855","60","17134","24564","149.53","57"
"2026-05-10T20:44:26.5828126+08:00","2026/05/10 20:44:26.582","62","17134","24564","151.17","58"
"2026-05-10T20:44:32.4127288+08:00","2026/05/10 20:44:32.409","49","17134","24564","151.73","58"
"2026-05-10T20:44:38.2558938+08:00","2026/05/10 20:44:38.249","64","17134","24564","147.28","57"
"2026-05-10T20:44:44.0067487+08:00","2026/05/10 20:44:44.000","46","17134","24564","151.69","59"
"2026-05-10T20:44:49.7949230+08:00","2026/05/10 20:44:49.789","61","17134","24564","152.56","59"
"2026-05-10T20:44:55.5456536+08:00","2026/05/10 20:44:55.537","47","17134","24564","154.16","59"
"2026-05-10T20:45:01.2520671+08:00","2026/05/10 20:45:01.249","63","17134","24564","151.03","59"
"2026-05-10T20:45:07.4744996+08:00","2026/05/10 20:45:07.466","62","17134","24564","152.38","59"
"2026-05-10T20:45:13.1704797+08:00","2026/05/10 20:45:13.170","56","17134","24564","228.99","64"
"2026-05-10T20:45:19.0245673+08:00","2026/05/10 20:45:19.022","65","17134","24564","153.29","59"
"2026-05-10T20:45:24.7562127+08:00","2026/05/10 20:45:24.750","58","17134","24564","151.9","59"
"2026-05-10T20:45:30.4853297+08:00","2026/05/10 20:45:30.478","72","17134","24564","229.61","65"
"2026-05-10T20:45:36.2366498+08:00","2026/05/10 20:45:36.233","57","17134","24564","147.68","58"
"2026-05-10T20:45:42.0208017+08:00","2026/05/10 20:45:42.017","62","17134","24564","150.13","58"
"2026-05-10T20:45:47.7725556+08:00","2026/05/10 20:45:47.768","19","17134","24564","232.51","58"
"2026-05-10T20:45:53.5715647+08:00","2026/05/10 20:45:53.571","41","17134","24564","147.04","58"
"2026-05-10T20:45:59.2870004+08:00","2026/05/10 20:45:59.284","52","17134","24564","150.83","58"
"2026-05-10T20:46:04.9789548+08:00","2026/05/10 20:46:04.978","62","17134","24564","237.06","59"
"2026-05-10T20:46:11.0555653+08:00","2026/05/10 20:46:11.049","30","17134","24564","144.05","58"
"2026-05-10T20:46:16.9052304+08:00","2026/05/10 20:46:16.898","43","17134","24564","148.19","57"
"2026-05-10T20:46:22.6359159+08:00","2026/05/10 20:46:22.626","87","17134","24564","235.92","59"
"2026-05-10T20:46:28.3793402+08:00","2026/05/10 20:46:28.379","18","17134","24564","145.18","58"
"2026-05-10T20:46:34.1825805+08:00","2026/05/10 20:46:34.175","62","17134","24564","143.29","58"
"2026-05-10T20:46:39.9021500+08:00","2026/05/10 20:46:39.898","50","17134","24564","234.88","59"
"2026-05-10T20:46:45.6538234+08:00","2026/05/10 20:46:45.653","35","17134","24564","143.97","57"
"2026-05-10T20:46:51.4744807+08:00","2026/05/10 20:46:51.467","65","17134","24564","145.91","58"
"2026-05-10T20:46:57.3042248+08:00","2026/05/10 20:46:57.302","5","17134","24564","103.69","55"
"2026-05-10T20:47:03.4137817+08:00","2026/05/10 20:47:03.412","7","17134","24564","23.67","51"
"2026-05-10T20:47:09.3272589+08:00","2026/05/10 20:47:09.279","10","17134","24564","20.66","50"
"2026-05-10T20:47:15.5402426+08:00","2026/05/10 20:47:15.530","10","17134","24564","20.49","48"
"2026-05-10T20:47:21.2306852+08:00","2026/05/10 20:47:21.224","10","17134","24564","19.57","47"
"2026-05-10T20:47:27.0170435+08:00","2026/05/10 20:47:27.010","83","17134","24564","82.14","57"
"2026-05-10T20:47:32.7241562+08:00","2026/05/10 20:47:32.718","44","17134","24564","148.64","53"
"2026-05-10T20:47:38.4367868+08:00","2026/05/10 20:47:38.436","64","17134","24564","148.14","54"
"2026-05-10T20:47:44.2276983+08:00","2026/05/10 20:47:44.227","61","17134","24564","141.74","57"
"2026-05-10T20:47:49.9241584+08:00","2026/05/10 20:47:49.920","59","17134","24564","146.75","57"
"2026-05-10T20:47:55.7148783+08:00","2026/05/10 20:47:55.708","66","17134","24564","151.01","58"
"2026-05-10T20:48:01.4579828+08:00","2026/05/10 20:48:01.457","62","17134","24564","147.67","58"
"2026-05-10T20:48:07.3055618+08:00","2026/05/10 20:48:07.302","62","17134","24564","150.3","58"
"2026-05-10T20:48:13.0033225+08:00","2026/05/10 20:48:12.999","62","17134","24564","147.9","57"
"2026-05-10T20:48:19.0844827+08:00","2026/05/10 20:48:19.081","27","17134","24564","147.33","56"
"2026-05-10T20:48:24.7861996+08:00","2026/05/10 20:48:24.783","60","17134","24564","151.26","58"
"2026-05-10T20:48:30.6022547+08:00","2026/05/10 20:48:30.595","64","17134","24564","148.77","57"
"2026-05-10T20:48:36.2881440+08:00","2026/05/10 20:48:36.287","60","17134","24564","196.29","64"
"2026-05-10T20:48:42.2095441+08:00","2026/05/10 20:48:42.199","61","17134","24564","150.99","57"
"2026-05-10T20:48:47.9367156+08:00","2026/05/10 20:48:47.928","25","17134","24564","146.77","57"
"2026-05-10T20:48:53.6935458+08:00","2026/05/10 20:48:53.692","56","17134","24564","237.47","60"
"2026-05-10T20:48:59.5132195+08:00","2026/05/10 20:48:59.513","59","17134","24564","147.84","57"
"2026-05-10T20:49:05.1942490+08:00","2026/05/10 20:49:05.190","40","17134","24564","152.56","58"
"2026-05-10T20:49:11.0023207+08:00","2026/05/10 20:49:10.996","64","17134","24564","236.58","60"
"2026-05-10T20:49:16.8112831+08:00","2026/05/10 20:49:16.808","61","17134","24564","149.3","58"
"2026-05-10T20:49:22.9023371+08:00","2026/05/10 20:49:22.897","62","17134","24564","147.89","58"
"2026-05-10T20:49:28.6147580+08:00","2026/05/10 20:49:28.609","86","17134","24564","231.79","58"
"2026-05-10T20:49:34.4230628+08:00","2026/05/10 20:49:34.416","64","17134","24564","147.17","57"
"2026-05-10T20:49:40.1634075+08:00","2026/05/10 20:49:40.162","42","17134","24564","147.17","58"
"2026-05-10T20:49:45.9163125+08:00","2026/05/10 20:49:45.906","60","17134","24564","232.74","63"
"2026-05-10T20:49:51.6490632+08:00","2026/05/10 20:49:51.642","60","17134","24564","145.32","57"
"2026-05-10T20:49:57.3559554+08:00","2026/05/10 20:49:57.355","22","17134","24564","145.16","58"
"2026-05-10T20:50:03.0790286+08:00","2026/05/10 20:50:03.079","62","17134","24564","146.39","57"
"2026-05-10T20:50:08.8020567+08:00","2026/05/10 20:50:08.795","60","17134","24564","146.66","57"
"2026-05-10T20:50:14.6024664+08:00","2026/05/10 20:50:14.594","62","17134","24564","142.22","57"
"2026-05-10T20:50:20.3521165+08:00","2026/05/10 20:50:20.346","60","17134","24564","141.2","57"
"2026-05-10T20:50:26.6406928+08:00","2026/05/10 20:50:26.640","55","17134","24564","146.74","58"
"2026-05-10T20:50:32.3645084+08:00","2026/05/10 20:50:32.353","6","17134","24564","40.16","53"
"2026-05-10T20:50:38.2088567+08:00","2026/05/10 20:50:38.142","8","17134","24564","20.84","51"
"2026-05-10T20:50:43.9956293+08:00","2026/05/10 20:50:43.988","8","17134","24564","20.54","49"
"2026-05-10T20:50:49.7680549+08:00","2026/05/10 20:50:49.758","10","17134","24564","19.75","48"
